NroItem;CodTransaccion;NroSerial;CodCampus;NroFormulario;Nombre;Ubicación;Proveedor;EmpresaResponsable;Estado;codebar
90;327;Sin serial ;MO009;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MO009*
91;327;400SN39189;CPU010;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*CPU010*
92;327;COM2024CM21070010;MON010;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MON010*
93;327;KBM130091733;TE010;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*TE010*
94;327;Sin serial ;MO010;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MO010*
95;327;400SN39223;CPU011;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*CPU011*
96;327;COM2024CM21070109;MON011;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MON011*
97;327;KBM130090703;TE011;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*TE011*
98;327;Sin serial ;MO011;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MO011*
99;327;400SN39229;CPU012;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*CPU012*
100;327;COM2024CM21070502;MON012;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MON012*
101;327;KBM130090708;TE012;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*TE012*
102;327;Sin serial ;MO012;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MO012*
103;327;400SN39178;CPU013;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*CPU013*
104;327;COM2024CM21070136;MON013;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MON013*
105;327;KBM130091708;TE013;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*TE013*
106;327;Sin serial ;MO013;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MO013*
107;327;400SN39196;CPU014;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*CPU014*
108;327;COM2024CM21070001;MON014;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MON014*
